Airline,Departure,Arrival,NoControl,LQR,Saved
UA,ORD,ANC,1048.142303380476,2363.6805099030767,-1315.5382065226006
UA,LAS,SFO,963.4950690705862,98.51245726854866,864.9826118020375
UA,MIA,DEN,461.88935404236616,509.1470954987835,-47.25774145641731
UA,DEN,ICT,721.48757763824,197.1714898252805,524.3160878129595
UA,DFW,DEN,1487.5861244290527,241.29663712792544,1246.2894873011273
UA,LAX,HNL,1027.4889748886992,1319.8199328538558,-292.3309579651566
UA,SAN,IAD,367.4463798976947,457.8039885519252,-90.35760865423049
UA,ORD,RSW,572.9814129949763,380.7978447548259,192.18356824015035
UA,SAN,IAH,727.6418728450424,329.63595499877425,398.0059178462681
UA,SNA,DEN,604.9716638722425,145.8176991259311,459.15396474631143
UA,PDX,EWR,543.0044554623829,476.223368569415,66.78108689296789
UA,CLE,DEN,595.7664864521794,302.4748484179002,293.2916380342792
UA,BUF,ORD,862.0804114658926,248.92869496635208,613.1517164995405
UA,MSY,SFO,646.9958512696887,772.4294180118945,-125.43356674220581
UA,MCO,SFO,435.4143760715384,568.0985800408254,-132.68420396928695
UA,DEN,BZN,810.8837605523813,327.42100543583206,483.46275511654926
UA,SFO,ANC,1019.2176727246954,1113.4548781121682,-94.23720538747284
UA,LAX,LAS,649.7245754018354,170.5194359074794,479.205139494356
UA,ANC,SFO,767.9751275534867,697.8714705882352,70.1036569652515
UA,DEN,SJC,954.3429013274574,468.3592210799297,485.98368024752773
UA,SFO,IND,1005.7667528420872,781.9388526913369,223.82790015075022
UA,SFO,EWR,917.5607227285917,743.4878433533303,174.07287937526144
UA,FLL,EWR,841.5044574208691,208.1509234493576,633.3535339715115
UA,LAX,OGG,972.2697283355703,1047.5880267542186,-75.31829841864828
UA,ORD,PHL,833.896057411024,283.2614298901744,550.6346275208496
UA,SJU,ORD,718.8067531359175,574.0644833218488,144.74226981406866
UA,IAH,OKC,592.2419139863287,218.0039226418537,374.23799134447495
UA,LAX,CLE,597.4079087145551,678.53167898749,-81.12377027293485
UA,STT,IAD,555.6859848484848,475.03904781090523,80.64693703757962
UA,PHX,LAX,796.2711433928533,247.67767857142857,548.5934648214247
UA,ORD,DEN,1552.467218412802,535.1639526322202,1017.3032657805817
UA,AUS,SFO,940.4954739139446,420.06781237166496,520.4276615422796
UA,TPA,DEN,355.0807387585371,285.87833206667676,69.20240669186035
UA,ORD,SRQ,555.1996971318376,343.7798412478015,211.4198558840361
UA,IAH,PHL,862.8810932097414,542.9069172610394,319.97417594870194
UA,MSP,IAH,824.2519109511201,333.35532118887824,490.89658976224183
UA,IAH,PHX,788.7945205246111,482.2225106658896,306.5720098587215
UA,ATL,EWR,1472.2340897218448,168.00215628072255,1304.2319334411222
UA,TUL,DEN,633.8425540730391,117.62278050108932,516.2197735719498
UA,DSM,DEN,587.3693386543787,187.68092517466758,399.68841347971113
UA,SFO,RDU,798.5843901832824,753.4792448810546,45.10514530222781
UA,HNL,LAX,696.5317851205047,624.5982552291183,71.93352989138634
UA,IAH,BOS,712.2577731285388,558.457275668604,153.80049745993483
UA,ORD,OMA,978.671484596286,307.1290608053866,671.5424237908994
UA,SAN,SFO,656.5209867204843,114.88230657451707,541.6386801459672
UA,RSW,EWR,548.7090513339499,252.29995053263903,296.40910080131084
UA,BDL,IAD,1302.6034936097053,307.910301558389,994.6931920513164
UA,PDX,DEN,597.4895386058608,195.2170784823244,402.27246012353646
UA,MCO,DEN,649.1579265624854,368.0414584354075,281.1164681270779
UA,SNA,ORD,547.9978010265636,334.98796490498773,213.00983612157586
UA,DEN,AUS,813.5324942397328,364.87218090623514,448.6603133334977
UA,FAI,ORD,3073.8073231231974,3760.826288323548,-687.0189652003505
UA,JAC,EWR,1813.0332961089925,1907.525601851852,-94.49230574285934
UA,BDL,ORD,795.540451802002,301.66155582891656,493.8788959730855
UA,DEN,OMA,1110.2572459575688,410.6415885190298,699.615657438539
UA,IAD,MCO,630.2283691878324,357.7381363662523,272.4902328215801
UA,ORD,RIC,1384.6632698140309,415.1250114224099,969.538258391621
UA,ORD,PIT,771.3804010230376,225.6620293919094,545.7183716311282
UA,PDX,ORD,599.4510597598098,418.9833350001749,180.4677247596349
UA,DEN,DSM,951.0685754450634,323.4695841092489,627.5989913358145
UA,PSP,SFO,811.5723331748554,169.24195542926302,642.3303777455924
UA,DCA,IAH,785.9781638102078,333.83871889997226,452.1394449102355
UA,IAH,HNL,1355.5509692108694,2284.431785063752,-928.8808158528827
UA,EWR,PDX,1389.9109825623905,1761.735510684468,-371.8245281220775
